"date","bus","rail_boardings","total_rides"
2022-06-01,"496,766","346,924","843,690"
2022-06-02,"492,400","355,544","847,944"
2022-06-03,"494,862","353,934","848,796"
2022-06-04,"298,993","261,915","560,908"
2022-06-05,"230,730","216,530","447,260"
2022-06-06,"437,910","291,922","729,832"
2022-06-07,"492,774","348,945","841,719"
2022-06-08,"454,093","328,980","783,073"
2022-06-09,"488,146","359,630","847,776"
2022-06-10,"450,488","327,910","778,398"
2022-06-11,"311,911","264,509","576,420"
2022-06-12,"224,348","193,587","417,935"
2022-06-13,"433,682","306,621","740,303"
2022-06-14,"467,146","345,831","812,977"
2022-06-15,"435,538","338,852","774,390"
2022-06-16,"441,821","351,622","793,443"
2022-06-17,"438,575","356,445","795,020"
2022-06-18,"316,980","307,051","624,031"
2022-06-19,"227,181","226,033","453,214"
2022-06-20,"365,955","257,700","623,655"
2022-06-21,"427,588","321,100","748,688"
2022-06-22,"444,712","335,641","780,353"
2022-06-23,"442,860","345,391","788,251"
2022-06-24,"429,666","353,308","782,974"
2022-06-25,"276,951","259,318","536,269"
2022-06-26,"228,786","301,320","530,106"
2022-06-27,"416,606","298,347","714,953"
2022-06-28,"445,097","348,827","793,924"
2022-06-29,"448,310","350,300","798,610"
2022-06-30,"434,307","354,302","788,609"
2022-07-01,"427,111","319,073","746,184"
2022-07-02,"314,971","271,980","586,951"
2022-07-03,"234,889","221,003","455,892"
2022-07-04,"201,272","158,486","359,758"
2022-07-05,"400,714","283,797","684,511"
2022-07-06,"438,241","315,347","753,588"
2022-07-07,"444,168","331,132","775,300"
2022-07-08,"414,527","323,371","737,898"
2022-07-09,"314,661","288,100","602,761"
2022-07-10,"228,764","208,566","437,330"
2022-07-11,"411,177","289,480","700,657"
2022-07-12,"460,573","351,612","812,185"
2022-07-13,"462,243","357,923","820,166"
2022-07-14,"459,272","364,927","824,199"
2022-07-15,"385,035","307,877","692,912"
2022-07-16,"306,271","295,499","601,770"
2022-07-17,"212,995","208,264","421,259"
2022-07-18,"432,780","299,248","732,028"
2022-07-19,"453,338","335,621","788,959"
2022-07-20,"455,439","338,205","793,644"
2022-07-21,"445,763","342,598","788,361"
2022-07-22,"426,586","323,821","750,407"
2022-07-23,"275,396","265,291","540,687"
2022-07-24,"209,703","202,481","412,184"
2022-07-25,"423,680","314,719","738,399"
2022-07-26,"460,649","352,662","813,311"
2022-07-27,"446,320","340,006","786,326"
2022-07-28,"448,728","380,517","829,245"
2022-07-29,"430,804","378,849","809,653"
2022-07-30,"304,052","327,388","631,440"
2022-07-31,"224,307","252,781","477,088"
2022-08-01,"433,904","304,820","738,724"
2022-08-02,"451,890","335,737","787,627"
2022-08-03,"430,236","321,771","752,007"
2022-08-04,"449,161","341,966","791,127"
2022-08-05,"445,484","357,462","802,946"
2022-08-06,"302,707","280,369","583,076"
2022-08-07,"202,042","193,344","395,386"
2022-08-08,"381,427","286,194","667,621"
2022-08-09,"454,272","352,582","806,854"
2022-08-10,"455,381","346,182","801,563"
2022-08-11,"444,736","337,937","782,673"
2022-08-12,"430,652","320,260","750,912"
2022-08-13,"295,364","253,835","549,199"
2022-08-14,"214,683","189,154","403,837"
2022-08-15,"422,612","312,773","735,385"
2022-08-16,"445,900","335,456","781,356"
2022-08-17,"451,427","335,610","787,037"
2022-08-18,"447,149","343,155","790,304"
2022-08-19,"446,821","359,501","806,322"
2022-08-20,"276,088","263,681","539,769"
2022-08-21,"235,253","221,628","456,881"
2022-08-22,"484,550","322,408","806,958"
2022-08-23,"510,024","370,191","880,215"
2022-08-24,"509,522","369,646","879,168"
2022-08-25,"491,181","367,289","858,470"
2022-08-26,"495,636","347,989","843,625"
2022-08-27,"313,588","249,105","562,693"
2022-08-28,"219,848","188,705","408,553"
2022-08-29,"453,804","307,410","761,214"
2022-08-30,"524,895","366,870","891,765"
2022-08-31,"521,586","366,459","888,045"
2022-09-01,"526,641","371,181","897,822"
2022-09-02,"507,102","361,289","868,391"
2022-09-03,"329,125","291,196","620,321"
2022-09-04,"229,381","227,410","456,791"
2022-09-05,"236,613","180,944","417,557"
2022-09-06,"523,472","365,689","889,161"
2022-09-07,"534,473","388,259","922,732"
2022-09-08,"529,691","391,210","920,901"
2022-09-09,"506,174","373,012","879,186"
2022-09-10,"328,476","293,144","621,620"
2022-09-11,"180,862","175,036","355,898"
